Navn;Deklareret faktor;Deklareret enhed;Massefaktor;A1tilA3;C3;C4;D;Type;Kilde
Dampspærre PA;1;M2;0,08;0.71;0.22;;0.09;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dampspærre PE (tykkelse 0,0002 m);1;M2;0,20;0.40;0.56;;0.27;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dampspærre, bitumen;1;M2;5,00;2.04;0.00;0.40;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dansk, høvlet konstruktionstræ af nåletræ;1;M3;536,00;-652.00;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dansk, høvlet konstruktionstræ af nåletræ, Forbrænding;1;M3;536,00;;709.00;0.00;-425.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dansk, høvlet konstruktionstræ af nåletræ, Genbrug;1;M3;536,00;;697.00;0.00;-755.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dansk, utørret og opsavet konstruktionstræaf nåletræ;1;M3;644,00;-664.00;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dansk, utørret og opsavet konstruktionstræaf nåletræ, Forbrænding;1;M3;644,00;;709.00;0.00;-425.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dansk, utørret og opsavet konstruktionstræaf nåletræ, Genbrug;1;M3;644,00;;697.00;0.00;-755.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Datakabel, Netværkskabel, PVC;1;M;0,06;0.30;0.05;;0.16;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Decentralt ventilationsanlæg medvarmegenvinding (væg & loft) 60 m3 / h;1;Pcs;3691,00;25.33;4.49;0.05;-11.70;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Difluormethan (R32);1;KG;1,00;5.22;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Downlight armatur, 18W (CFL, G24d);1;Pcs;703,00;4.03;0.00;;-2.58;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dør, alu, hoveddør;1;M2;47,00;163.38;10.52;0.12;-92.51;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dør, alu, røgdør;1;M2;41,00;157.17;0.87;0.24;-70.21;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dør, alu, T30/EI30;1;M2;55,00;221.42;0.93;0.39;-74.08;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dør, alu, T90/EI90;1;M2;101,00;351.67;0.93;0.86;-84.72;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dør, industriport;1;M2;88,54;263.69;0.05;5.71;-121.04;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Dør, stål, indv/udv/brand/røg mv;1;M2;44,10;135.75;0.06;1.72;-63.02;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
ECB-plast tagmembran, ifølge DIN 16729(med PES-filt);1,00143;M2;2,32;8.23;7.04;;-3.26;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ekspanderet glasgranulat;1;KG;1,00;0.27;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ekspanderet Ler, sand;1;KG;1,00;0.34;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Ekspanderet skifer;1;KG;1,00;0.34;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elastomer-fugebånd, polysulfid;1;KG;1,00;9.16;1.18;;0.55;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elastomer-fugebånd, silikonegummi;1;KG;1,00;6.86;1.52;;-0.70;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elektromagnetisk forkobling, VVG;1;Pcs;0,56;4.23;0.02;0.00;-0.93;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elektronisk forkobling, EVG;1;Pcs;0,40;4.97;0.00;0.08;0.58;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elevator (grundkomponenter pr. stk.);1;Pcs;1603,00;5193.00;37.39;4.88;-1579.64;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elevator (komponenter pr. etage);1;Pcs;333,00;969.29;0.30;;-493.14;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elkabel, 1-leder, PVC, 15 kg kobber;1;M;0,02;0.09;0.01;;0.05;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elkabel, 3-leder, PVC, 45 kg kobber;1;M;0,12;0.42;0.22;;0.19;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Elkabel, 5-leder, PVC, 75 kg kobber;1;M;0,17;0.61;0.28;;0.30;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
El-varmepumpe (lodret jordvarme, saltvand)10 kW;1;Pcs;139,00;338.95;4.35;0.03;-156.28;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
El-varmepumpe (lodret jordvarme, saltvand)20 kW;1;Pcs;1498,05;1997.42;4.35;0.03;-156.29;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPDM skum (rørisolering);1;M3;55,00;245.13;137.70;;-69.57;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPDM-tætning til aluminiumsprofil;1;M;0,18;0.58;0.56;0.56;-0.61;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPDM-tætning til aluminiumsprofil, med kuldebroafbrydelse;1;M;0,43;;1.35;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPDM-tætning til aluminiumsprofil, medkuldebroafbrydelse;1;M;0,43;1.38;;1.35;-1.46;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPS isolering (grå) med termisk strålingsabsorber;1;M3;16,60;49.70;;55.60;-28.70;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPS isolering til lofter / gulve ogkælderydervæg / terrændæk 035;1;M3;25,90;75.40;;85.90;-45.20;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPS isolering til lofter / gulve ogkælderydervæg / terrændæk 040;1;M3;18,50;53.80;;61.00;-32.10;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPS isolering til vægge og tage 035;1;M3;22,70;59.50;;75.20;-39.60;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EPS isolering til vægge og tage 040;1;M3;18,00;52.50;;59.50;-31.30;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
ETICS limning og mineralsk letpuds;1;M2;11,40;4.74;0.00;0.17;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
ETICS limning og mineralsk puds (Dekorputz);1;M2;17,40;7.34;0.00;0.26;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
ETICS limning og mineralsk puds (Kratzputz);1;M2;35,18;9.84;0.00;0.53;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
ETICS limning og silikonepuds;1;M2;12,30;5.48;0.00;0.19;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
ETICS-limning og belægning af syntetiskharpikspuds;1;M2;12,48;6.70;0.00;0.19;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
ETICS-limning og belægning afsilikatdispersionspuds;1;M2;12,48;5.48;0.00;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
EVA-tagmembran;1;M2;2,00;5.13;7.97;;-3.61;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C20/25 SCC og C25/30) i eksponeringsklasserne X0 og XC1, Fabriksbeton C20/25 SCC (fundament);1;M3;2212,00;215.00;6.94;5.13;-4.74;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C20/25 SCC og C25/30) i eksponeringsklasserne X0 og XC1, Fabriksbeton C20/25 SCC (indvendig væg);1;M3;2212,00;215.00;6.94;5.13;-4.74;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C20/25 SCC og C25/30) i eksponeringsklasserne X0 og XC1, Fabriksbeton C25/30 (gulv);1;M3;2246,00;241.00;6.73;4.97;-4.60;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C20/25 SCC og C25/30) i eksponeringsklasserne X0 og XC1, Fabriksbeton C25/30 (indervæg);1;M3;2246,00;241.00;6.73;4.97;-4.60;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C30/37, C35/45 SCC), C30/37 (Bundplade);1;M3;2255,00;;6.72;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C30/37, C35/45 SCC), C30/37(Bundplade);1;M3;2255,00;282.00;;4.97;-4.60;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C30/37, C35/45 SCC), C30/37(Indvendig væg);1;M3;2255,00;282.00;6.72;4.97;-4.60;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C30/37, C35/45 SCC), C35/45SCC (gulv);1;M3;2254,00;300.00;6.54;4.83;-4.47;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton (C30/37, C35/45 SCC), C35/45SCC (Indvendig væg);1;M3;2254,00;300.00;6.54;4.83;-4.47;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton(C35/45), C35/45 – CEM I (Sætmålsbeton);1;M3;2267,00;362.00;7.07;5.23;-4.84;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton(C35/45), C35/45 (fugebeton);1;M3;2256,00;377.00;6.63;4.90;-4.54;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton(C35/45), C35/45 –CEM I SR-5 (Sætmålsbeton);1;M3;2304,00;403.00;6.85;5.06;-4.68;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton(C40/50, C45/55), C40/50 CEM I (Fundament);1;M3;2267,00;429.00;6.77;5.00;-4.63;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton(C40/50, C45/55), C40/50 CEM I (Indvendig væg);1;M3;2267,00;429.00;6.77;5.00;-4.63;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton(C40/50, C45/55), C40/50 CEM I SR-5 (Fundament);1;M3;2284,00;465.00;6.95;5.14;-4.76;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton(C40/50, C45/55), C40/50 CEM I SR-5 (Indvendig væg);1;M3;2284,00;465.00;6.95;5.14;-4.76;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton(C40/50, C45/55), C45/55 (Fundament);1;M3;2229,00;426.00;6.75;4.99;-4.62;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fabriksbeton(C40/50, C45/55), C45/55 (Indvendig væg);1;M3;2229,00;426.00;6.75;4.99;-4.62;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Facadeklinker;1;M3;2000,00;541.90;13.45;;-4.11;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
