Sorterings ID;Data type;Navn DK;A1tilA3;C3;C4;D;Deklareret faktor (FU);Deklareret enhed (FU);Masse faktor (densitet)
#G0868;Generisk data;Gaskedel, kondenserende, 20-120 kW;1104.19;22.6536;1.57929;-157.721;1;STK;292
#G0872;Generisk data;Stålprofil;0.994444;-;#G0204;#G0204;1;KG;1
#G0873;Generisk data;Kondenserende gaskedel 120-400 kW (standalone enhed);3422.37;161.496;1.80285;-1357.73;1;STK;974
#G0877;Generisk data;Overflade, Indendørsmaling, emulsions maling, slidstærk;2.62123;-;0.0150055;-0.010823;1;KG;1
#G0880;Generisk data;Kalciumsulfat;0.107014;-;0.0150055;-;1;KG;1
#G0882;Generisk data;Varmepumpe, vand-vand, 20 kW;284.32;5.22458;0.0300174;-173.463;1;STK;104
#G0890;Generisk data;Lerrør, glaseret, DN 250;26.2848;0.405381;-;-0.104753;1;M;51
#G0896;Generisk data;Vinduesramme, træ;-0.147349;4.03685;-;-1.61135;1;M;2.11
#G0899;Generisk data;Træ, fyrretræ (12% fugt / 10,7% H2O);-783.129;985.049;-;-260.334;1;M3;548.8
#G0902;Generisk data;Cirkulationspumpe < 50 W;13.2285;0.432995;0.0225356;-2.53107;1;STK;2.47
#G0906;Generisk data;Overflade, Vinduesmaling, hvid;1.82186;0.784673;-;-0.243853;1;KG;1
#G0909;Generisk data;LPG tank 2700 l / t 1,2 (overjordiske);1720.01;0.433551;-;-825.924;1;STK;648
#G0912;Generisk data;Affald, inert, deponering (glas);-;-;0.0136414;-;1;KG;1
#G0913;Generisk data;LPG tank 4850 l / 2,1t (overjordiske);2762.64;0.851223;-;-1621.6;1;STK;1040
#G0916;Generisk data;PIR-skum, høj densitet (250 kg/m3);781.381;644.627;-;-249.994;1;M3;250
#G0919;Generisk data;El-varmepumpe (lodret jordvarme, saltvand) 20 kW;1997.42;4.35299;0.0300174;-156.292;1;STK;1498.05
#G0923;Generisk data;Oliekedel, lav temperatur, <20 kW;803.765;11.9181;0.946495;-139.23;1;STK;221
#G0927;Generisk data;Gulvvarmesystem inkl. isolering, PEX (200 mm afstand);5.6924;4.9229;-;-2.05162;1;M2;1.04
#G0930;Generisk data;Kalksandsten;306.119;13.4516;-;-4.10796;1;M3;2000
#G0933;Generisk data;Singels 2-15 mm;0.014695;0.00672578;-;-0.00205398;1;KG;1
#G0936;Generisk data;Gulvvarmesystem inkl. isolering, PP (200 mm afstand);4.88738;4.9229;-;-2.05162;1;M2;1.04
#G0939;Generisk data;Kølemiddel (R407c);8.38122;#G1298;-;-;1;KG;1
#G0940;Generisk data;Sand, knust, tørret;0.0342735;0.00672578;-;-0.00205398;1;KG;1
#G0943;Generisk data;Plastplade, transparent, PC;6131.21;3661.42;-;-1368.53;1;M3;1200
#G0946;Generisk data;CR-profil til forsejling (chloropren gummi);0.895329;0.555074;-;-0.276832;1;M;0.18
#G0949;Generisk data;Gipskartonplade 13 mm, hulplade;1.36406;-;0.127547;-;1;M2;8.05
#G0951;Generisk data;Bomuld;-0.780289;2.20182;-;-0.722834;1;KG;1
#G0954;Generisk data;Glasbyggesten;3926.96;-;44.3346;-;1;M3;2500
#G0956;Generisk data;Aluminium, støbegods;10.9481;-;#G0500;#G0500;1;KG;1
#G0957;Generisk data;Stokerfyr 120-400 kW;7141.52;18.7887;1.80285;-3691.63;1;STK;3399
#G0961;Generisk data;Curtain wall profiler, aluminium;55.1564;3.42169;-;-35.6544;1;M;5.07
#G0964;Generisk data;Plast profil SBR;4.20151;3.1383;-;-1.6957;1;KG;1
#G0970;Generisk data;Overflade, træfacade, semi-pigmenteret lasursystem;2.7365;0.836874;-;-0.261171;1;KG;1
#G0973;Generisk data;Porebeton 472 kg/m³;222.605;3.17457;-;-0.969479;1;M3;472
#G0976;Generisk data;Rør til el-varmepumpe (lodret jordvarme, saltvand), collector, 10 kW;363.115;0;-;-;1;STK;141
#G0978;Generisk data;Skærvemastisk asfalt (SMA);0.0765834;0;-;-0.0263052;1;KG;1
#G0984;Generisk data;Glas 4 mm;13.3289;-;0.163697;-;1;M2;10
#G0986;Generisk data;Kondenserende gaskedel <20 kW (standalone enhed);753.547;21.8182;1.5829;-183.436;1;STK;133
#G0990;Generisk data;Overflade, Metal maling (opløsningsmiddelbaseret);2.28622;0.143886;-;-0.0404745;1;M2;0.21
#G0993;Generisk data;Lithium jernfosfat (LiFePO4) batteri (1 kWh lagring);241.48;-;22.5933;-35.2863;1;STK;23.03
#G0996;Generisk data;Kondenserende gaskedel 20-120 kW (standalone enhed);1268.3;46.7263;1.80285;-392.75;1;STK;283
#G1000;Generisk data;Overflade, Vandbaseret lak, hvid;2.01226;0.856007;-;-0.24092;1;KG;1
#G1003;Generisk data;Betonrør, u-armeret;0.132191;0.00733722;-;-0.00205398;1;KG;1
#G1006;Generisk data;PVC plastisol;2.43275;2.73937;-;-0.556058;1;KG;1
#G1009;Generisk data;Pellet-kedel, <20 kW;1168.47;1.31871;1.80285;-409.511;1;STK;335
#G1013;Generisk data;Rørgods;1.77322;#G1298;-;-;1;KG;1
#G1018;Generisk data;Overflade, Facademaling, silikat;0.865769;-;0.0150055;-0.010823;1;KG;1
#G1021;Generisk data;Puds, gips;134.173;-;13.505;-;1;M3;900
#G1023;Generisk data;Afretningslag, cementbaseret;0.183551;-;0.0150055;-;1;KG;1
#G1025;Generisk data;Varmepumpe, jordvarmesonde, 10 kW;855.755;4.35299;0.0300174;-156.292;1;STK;563
#G1032;Generisk data;Urea formaldehyd skum isolering;2.88236;1.87588;-;-0.666651;1;KG;1
#G1035;Generisk data;Træbrædder, bøg (12% fugtighed / 10,7% H2O);-1093.21;1328.2;-;-352.468;1;M3;739.2
#G1038;Generisk data;Overflade, Vinduesmaling, mellemlag dækkende hvid;1.78204;0.784673;-;-0.243992;1;KG;1
#G1041;Generisk data;Kalkpuds, tørstof;190.611;-;13.505;-;1;M3;900
#G1043;Generisk data;Varmepumpe, jordvarmeslange, 20 kW;392.972;4.35298;0.0300174;-156.278;1;STK;184.2
#G1047;Generisk data;Varmepumpe, jordvarmeslange, 70 kW;931.906;11.4808;0.0300174;-267.738;1;STK;488.9
#G1051;Generisk data;Bomuld, økologisk;-0.553836;2.20182;-;-0.722834;1;KG;1
#G1054;Generisk data;Affald (forbrænding), kunststof, fjernvarme;-;2.52745;-;-1.40543;1;KG;1
#G1056;Generisk data;Propan (R290);0.556878;#G1298;-;-;1;KG;1
#G1057;Generisk data;Aircondition (direkte fordamper) (per 1 kW);45.7792;3.03977;0.428176;-24.1576;1;STK;13.04
#G1061;Generisk data;Overflade, Facademaling, akryl maling;1.48132;-;0.0150055;-0.0101248;1;KG;1
#G1064;Generisk data;Skorsten opmuret (1 rør);23.8032;1.60914;-;-;1;M;98.3
#G1066;Generisk data;Stokerfyr  <20 KW;1642.03;3.47892;1.80285;-683.535;1;STK;631
#G1070;Generisk data;Kølemiddel (R404a);9.48597;#G1298;-;-;1;KG;1
#G1071;Generisk data;Beslag til vandrette skydevinduer;5.75046;-;#G0763;#G0763;1;STK;696
#G1072;Generisk data;Tagpap, bitumen toplag, ikke skiferbestrøet;5.35539;0;0.413297;-;1;M2;5.21
#G1075;Generisk data;Rude (3-lags);57.7726;3.03476;0.49109;-1.40543;1;M2;30
#G1079;Generisk data;Gummigulve profileret EN 12199;12.884;13.866;-;-8.17326;1;M2;4.82
#G1082;Generisk data;Naturstenplade, blød, gulv;14.9203;0.349741;-;-0.106807;1;M2;52
#G1085;Generisk data;Marmorplade (tykkelse 0,02 m);16.2767;0.381535;-;-0.106807;1;M2;52
#G1088;Generisk data;Naturstenplade, hård, gulv;31.7513;0.349741;-;-0.106807;1;M2;52
#G1091;Generisk data;Kork linoleumsgulv (tykkelse 0,0025 m);3.60243;3.58677;-;-0.350728;1;M2;3.01
#G1094;Generisk data;Loftspanel med mineraluld;3.4872;0;0.0360133;-;1;M2;2.04
#G1097;Generisk data;Undertag, PP-membran;0.407157;0.333621;-;-0.164677;1;M2;0.15
#G1100;Generisk data;Gipskartonplade, brandimprægneret;1.54129;-;0.150055;-;1;M2;10
#G1102;Generisk data;Naturstensplade, udendørsbrug;5.73544;1.39896;-;-0.427228;1;M2;208
#G1105;Generisk data;Tagpap, bitumen toplag, skiferbestrøet;5.36407;0;0.491831;-;1;M2;6.02
#G1108;Generisk data;Naturstenplade, hård, facade;32.4057;0.524611;-;-0.160211;1;M2;78
#G1111;Generisk data;Net-forstærket dampspærre PET;0.742035;0.331026;-;-0.100762;1;M2;0.12
#G1114;Generisk data;Keramikfliser, glaseret;6.17969;0.146744;-;-0.0410796;1;M2;20
#G1117;Generisk data;Gips, tørstof (gipskartonplade) (tykkelse 0,025 m);3.11901;-;0.301611;-;1;M2;20.07
#G1119;Generisk data;Gips, tørstof (gipsfiberplade) (tykkelse 0,025 m);7.55456;0;0.361634;-;1;M2;24.07
#G1122;Generisk data;PUR-underlag på PET-flis (tykkelse 0,0005 m);1.06631;0.54176;-;-0.192588;1;M2;0.02
#G1125;Generisk data;Dampspærre PE (tykkelse 0,0002 m);0.399404;0.555951;-;-0.274462;1;M2;0.02
#G1128;Generisk data;Skifer;15.0386;0.201774;-;-0.0616194;1;M2;30
#G1131;Generisk data;Folie til grønt tag;3.54926;4.95155;-;-1.00535;1;M2;1.13
#G1134;Generisk data;Trægulv, stavparket, 22 mm;-15.0494;23.6049;-;-6.36585;1;M2;11.05
#G1139;Generisk data;Dampspærre, bitumen;2.0393;0;0.396638;-;1;M2;5
#G1142;Generisk data;Gipsfiberplade 10 mm;3.18612;0;0.150055;-;1;M2;10
#G1145;Generisk data;Lerplade (tykkelse 0,02 m);0.0530942;0.0436552;-;-0.0205632;1;M2;14
#G1148;Generisk data;Undertag, fiberarmeret PE-membran;0.425628;0.315442;-;-0.14272;1;M2;0.14
#G1151;Generisk data;Tagpap, bitumen undermembran;2.4749;0;0.396638;-;1;M2;5
#G1154;Generisk data;Linoleum gulvbelægning (tykkelse 0,0025 m);-3.24756;3.5866;-;-0.444446;1;M2;3
#G1157;Generisk data;Tagmembran, PVC;6.07292;4.93032;-;-1.00091;1;M2;1.05
#G1160;Generisk data;Korkfliser 8 mm;-6.08412;6.38655;-;-0.665479;1;M2;3.06
#G1163;Generisk data;Fugtisolering, grundmursplade, PE;4.08909;4.14532;-;-2.0467;1;M2;1.02
#G1166;Generisk data;Parket, flerlag (tykkelse 0,01 m);-4.45326;11.8038;-;-2.31635;1;M2;6.05
#G1169;Generisk data;Korkfliser 6 mm;-4.56492;4.84491;-;-0.544943;1;M2;2.07
#G1172;Generisk data;Gips, vægplade (tykkelse 0,1 m);22.3539;-;1.26047;-;1;M2;84
#G1174;Generisk data;Korkfliser 4 mm;-3.04279;3.21527;-;-0.351073;1;M2;1.08
#G1177;Generisk data;Tagfolie EPDM;8.59954;6.79964;-;-3.39139;1;M2;2
#G1180;Generisk data;Gipskartonplade 13 mm, imprægneret;1.62283;-;0.150055;-;1;M2;10
#G1182;Generisk data;Halm;-127;0;134;0;1;M3;100
#G1186;Generisk data;Ovenlyskuppel, plast (komplet ovenlys);45.7;42.5;0.18;-37.1;1;M2;35.2
#G1190;Generisk data;Rytterlys, plast/aluminium (komplet vindue);84.7;10.06;0.0495;-68.6;1;M2;18.08
#G1194;Generisk data;Fladtagsvindue, plast (komplet vindue);226;15.01;0.21;-148;1;M2;72.1
#G1198;Generisk data;Glastag, aluminium (komplet vindue);232;10.06;0.12;-77.4;1;M2;61.8
#G1202;Generisk data;Dør, alu, hoveddør;163.382;10.5204;0.117048;-92.5086;1;M2;47
#G1206;Generisk data;Dør, alu, røgdør;157.17;0.866486;0.238074;-70.2062;1;M2;41
#G1210;Generisk data;Dør, alu, T30/EI30;221.423;0.927273;0.389603;-74.0761;1;M2;55
#G1214;Generisk data;Dør, alu, T90/EI90;351.666;0.927262;0.863448;-84.7245;1;M2;101
#G1218;Generisk data;Dør, industriport;263.69;0.0519;5.71;-121.04;1;M2;88.54
#G1222;Generisk data;Dør, stål, indv/udv/brand/røg mv;135.75;0.0578;1.72;-63.02;1;M2;44.1
#G1226;Generisk data;Mineraluld, alm.;40.3055;0.72123;0.399579;-;1;M3;26.25
#G1229;Generisk data;Mineraluld, facadesystem;70.3915;1.26969;0.703441;-;1;M3;46.25
#G1234;Generisk data;ETICS limning og mineralsk puds (Kratzputz);9.8439;0;0.527835;-;1;M2;35.18
#G1238;Generisk data;Smeltekammergranulat;0;#G0789;-;-;1;KG;1
#G1251;Generisk data;ETICS-limning og belægning af silikatdispersionspuds;5.48029;0;-;-;1;M2;12.48
#G1253;Generisk data;Pimpsten (SFK-4);78.0446;6.6035;-;-1.84858;1;M3;900
#G1256;Generisk data;ETICS-limning og belægning af syntetisk harpikspuds;6.70288;0;0.187209;-;1;M2;12.48
#G1259;Generisk data;Mineraluld, skråtag;46.5164;0.783207;0.455523;-;1;M3;30
#G1266;Generisk data;ETICS limning og mineralsk letpuds;4.73572;0;0.168362;-;1;M2;11.04
#G1270;Generisk data;ETICS limning og mineralsk puds (Dekorputz);7.33681;0;0.258395;-;1;M2;17.04
#G1273;Generisk data;Mineraluld, trykfast til tagsystem;209.503;3.97636;2.203;-;1;M3;145
#G1276;Generisk data;Ekspanderet Ler, sand;0.338274;#G0789;-;-;1;KG;1
#G1278;Generisk data;Mineraluld, terræn;133.91;2.33097;1.29141;-;1;M3;85
#G1287;Generisk data;ETICS limning og silikonepuds;5.48029;0;0.187209;-;1;M2;12.03
#G1292;Generisk data;OSB-plade;-572.706;#G0810;-;#G0810;1;M3;600
#G1294;Generisk data;Spånplade, melaminbelagt;-691.465;#G0810;-;#G0810;1;M3;633.29
#G1295;Generisk data;Parket i massivt træ;-12.0662;#G0765;-;#G0765;1;M2;11.71
#G1296;Generisk data;Træfiberplade, høj densitet, HDF;-854.246;#G0810;-;#G0810;1;M3;849.92
#G1297;Generisk data;Træfiberplade, medium densitet, MDF;-726.358;#G0810;-;#G0810;1;M3;737.5
#G1298;Generisk data;Tom affaldsproces;-;0;-;-;1;KG;1
#G1301;Generisk data;Silikatmaling (indendørs);955;#G0789;-;-;1;KG;1
#G1302;Generisk data;Silikatmaling (udendørs);1.02;#G0789;-;-;1;KG;1
#G1303;Generisk data;Laminatgulv 8 mm;-5.272;13.05;-;-3.649;1;M2;7.45
#G1306;Generisk data;Oliekedel, lav temperatur, kondenserende, < 20 kW;891.1;26.61;1.803;-223.6;1;STK;162
#G1310;Generisk data;Oliekedel, lav temperatur, kondenserende, 20-120 kW;1755;72.67;1.803;-610.8;1;STK;439
#G1314;Generisk data;Oliekedel, lav temperatur, kondenserende, 120-400 kW;5075;249.5;1.803;-2099;1;STK;1504
#G2000;Generisk data;Affald, byggeaffald, deponering (ikke glas);-;-;0.0136414;-;1;KG;1
#G2001;Generisk data;Affald, stenuld høj densitet;-;-;2.46;-5.42;1;M3;155
#G2002;Generisk data;Affald, stenuld lav densitet;-;-;0.62;-1.36;1;M3;39
#G2003;Generisk data;Affald, stenuld middel densitet;-;-;1.52;-3.36;1;M3;96
#G2004;Generisk data;Affald (forbrænding), tekstil, fjernvarme;-;1.73941;-;-0.826165;1;KG;1
#G2005;Generisk data;Affald (forbrænding), polystyren (PS), fjernvarme;-;3.37892;-;-1.54693;1;KG;1
#G2006;Generisk data;Tæppe gulvbelægning (tykkelse 0,006 m);-;4.04533;-;-1.60441;1;M2;1.04
#G2007;Generisk data;Kobberrør (blank);-;0.00136414;-;-1.14005;1;KG;1
